,ABD,Alcol_peso,Alcol_vol,Attenuazione Reale (RDF) %,Attenuazione vendita apparente %p,Cellule all'insemenzamento,Diacetile + precursori (ferm.),Differenza apparente-limite,Durata di conservazione lievito in cella,Estratto apparente,Estratto apparente limite %Pp,Estratto reale,Fermentation rate (13.5°-5.5°),Grado primitivo %Pp,Hopped Wort,Hopped Wort (37°C),NBB-A,NBB-B,Pentandione + precursori,pH,Rapporto ER/ABW,Temperatura Fermentazione,Temp. lievito all'insemenzamento,Tempo di riduzione diacetile
949,0.0,4.96,6.33,67.63,83.69,18.0,16.0,0.08,9.3,2.29,2.21,4.55,2.5,14.06,0.0,0.0,0.0,0.0,15.0,4.25,0.92,12.807534027221777,2.0,11.0
950,0.0,4.83,6.16,67.17,83.19,17.6,10.0,0.28,15.2,2.32,2.04,4.53,2.5,13.8,0.0,0.0,0.0,0.0,13.0,4.1,0.94,12.807534027221777,2.0,11.0
951,0.0,5.1,6.51,66.21,81.93,17.0,39.0,0.33,28.0,2.66,2.33,4.97,2.5,14.71,0.0,0.0,0.0,0.0,87.0,4.37,0.97,12.807534027221777,2.5,9.46
952,0.0,5.216431803490627,6.65959706959707,67.74516483516483,83.12148349261511,16.0,41.0,0.3180995475113122,25.4,2.489437621202327,2.1715276879982763,4.82351863822452,1.9,14.776283128636068,0.0,0.0,0.0,0.0,73.0,4.257050452781371,0.9269790993320406,12.807534027221777,2.5,9.0
953,0.0,5.03,6.42,66.53,82.35,0.95,44.0,0.4,22.6,2.55,2.15,4.84,1.92,14.46,0.0,0.0,0.0,0.0,113.0,4.3,0.96,12.807534027221777,2.5,9.0
954,0.0,5.62,7.19,68.1,79.38,13.5,48.0,0.86,48.0,3.23,2.37,5.0,2.3,15.67,0.0,0.0,0.0,0.0,18.0,4.32,0.89,12.807534027221777,2.5,11.219009009009008
955,0.0,4.98,6.36,65.94,81.67,16.7,44.0,0.39,21.1,2.65,2.26,4.92,2.67,14.44,0.0,0.0,0.0,0.0,63.0,4.24,0.99,13.5,2.5,10.0
956,0.0,4.81,6.14,66.74,82.71,16.8,42.0,0.15,2.59,2.39,2.24,4.6,2.4,13.83,0.0,0.0,0.0,0.0,72.0,4.21,0.96,13.5,2.5,9.58
957,0.0,5.3,6.78,66.98,78.77,12.3,48.0,0.56,18.16,3.2,2.64,4.98,1.92,15.08,0.0,0.0,0.0,0.0,71.0,4.27,0.94,12.807534027221777,2.5,11.219009009009008
958,0.0,4.28,5.48,61.95,76.77,1.0,13.4,0.37,29.45,3.09,2.72,5.06,2.14,13.3,0.0,0.0,0.0,0.0,45.0,4.43,1.18,12.807534027221777,4.0,11.219009009009008
959,0.0,5.02,6.41,65.74,81.37,16.7,45.0,0.57,19.02,2.72,2.15,5.0,2.4,14.59,0.0,0.0,0.0,0.0,49.0,4.16,1.0,13.0,2.5,10.0
960,0.0,4.84,6.19,64.53,79.91,17.3,28.0,0.56,17.3,2.88,2.32,5.09,2.4,14.35,0.0,0.0,0.0,0.0,33.0,4.25,1.05,13.5,2.5,10.0
961,0.0,5.0,6.39,66.26,82.04,17.56,24.0,0.31,23.3,2.59,2.28,4.87,2.95,14.43,0.0,0.0,0.0,0.0,32.0,4.14,0.97,13.5,2.5,10.0
962,0.0,4.89,6.25,65.55,81.25,16.8,30.0,0.4,21.4,2.68,2.28,4.92,2.74,14.28,0.0,0.0,0.0,0.0,45.0,4.16,1.01,13.5,2.5,10.0
963,0.0,4.96,6.34,65.39,80.94,16.9,39.0,0.53,34.13,2.76,2.23,5.02,2.4,14.5,0.0,0.0,0.0,0.0,54.0,4.21,1.01,13.2,2.5,10.0
964,0.0,5.01,6.4,66.35,82.12,16.7,28.0,0.38,46.2,2.58,2.2,4.86,3.0,14.44,0.0,0.0,0.0,0.0,44.0,4.2,0.97,13.5,2.5,9.92
965,0.0,5.07,6.48,66.32,82.05,16.0,31.0,0.36,18.08,2.62,2.26,4.92,3.0,14.61,0.0,0.0,0.0,0.0,44.0,4.16,0.97,13.5,2.5,9.42
966,0.0,5.216431803490627,6.65959706959707,67.74516483516483,83.12148349261511,16.8,35.0,0.3180995475113122,11.25,2.489437621202327,2.1715276879982763,4.82351863822452,2.0,14.776283128636068,0.0,0.0,0.0,0.0,36.0,4.257050452781371,0.9269790993320406,12.807534027221777,2.5,11.0
967,0.0,5.08,6.49,66.31,81.75,17.0,58.0,0.31,14.0,2.67,2.36,4.93,2.4,14.63,0.0,0.0,0.0,0.0,52.0,4.2,0.97,12.807534027221777,2.5,10.08
